sample_id,true_label,baseline_top1,baseline_margin,entropy,orig_rank,ours_rank,oracle_sample_rank,oracle_candidate_rank,oracle_sample_choose_orig,oracle_candidate_choose_orig_ratio,mixed_preference,hop2_activation,prompt_count_log1p,oracle_gap
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_90_100.wav,beach,0.4000859558582306,0.15508517622947693,0.9983239877025806,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.1597583293914795
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_110_120.wav,beach,0.40833109617233276,0.16820967197418213,0.9980883004751206,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.1646943986415863
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_100_110.wav,beach,0.3816637098789215,0.15209536254405975,0.9984941239569727,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.1682964265346527
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_40_50.wav,beach,0.37280526757240295,0.14420120418071747,0.9981094841794115,1,1,1,1,0.0,0.2,1.0,0.0,4.007333185232471,0.18173381686210632
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_50_60.wav,beach,0.37165170907974243,0.14982518553733826,0.9984303506374117,1,1,1,1,0.0,0.2,1.0,0.0,4.007333185232471,0.17026007175445557
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_30_40.wav,beach,0.36025184392929077,0.12429891526699066,0.9985378986745808,1,1,1,1,0.0,0.2,1.0,0.0,4.007333185232471,0.17102551460266113
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_160_170.wav,beach,0.39211657643318176,0.1537497341632843,0.9981965892012509,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.16185110807418823
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_170_180.wav,beach,0.3835983872413635,0.1580263078212738,0.9982502891509393,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.15940925478935242
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_150_160.wav,beach,0.4097861051559448,0.17054224014282227,0.9977330660493199,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.17749527096748352
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_60_70.wav,beach,0.37951764464378357,0.1381397247314453,0.998196070718978,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.16597136855125427
/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_70_80.wav,beach,0.3835643231868744,0.14810648560523987,0.9982825831896485,1,1,1,1,0.0,0.2,1.0,0.0,3.8918202981106265,0.17221146821975708
