dataset_name,sample_id,true_label,baseline_top1,baseline_margin,entropy,hop2_activation,prompt_count_log1p,oracle_choose_orig_ratio,key_candidate_count
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_90_100.wav,beach,0.3867100179195404,0.15555518865585327,0.9982842127053632,0.0,3.8918202981106265,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_110_120.wav,beach,0.3837185800075531,0.14766106009483337,0.9981808125263769,0.0,3.8918202981106265,0.2,4
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_100_110.wav,beach,0.4007492661476135,0.15563562512397766,0.9980408963816025,0.0,3.8918202981106265,0.2,4
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_40_50.wav,beach,0.3739219903945923,0.14378622174263,0.9979129053291039,0.0,3.9702919135521215,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_50_60.wav,beach,0.38573136925697327,0.15880388021469116,0.9980580803655029,0.0,4.007333185232471,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_30_40.wav,beach,0.3665654957294464,0.15461181104183197,0.9982879902190653,0.0,4.007333185232471,0.2,4
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_160_170.wav,beach,0.3597526252269745,0.11460268497467041,0.9988455068001751,0.0,3.8918202981106265,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_170_180.wav,beach,0.37446022033691406,0.15194040536880493,0.9977877288946578,0.0,4.007333185232471,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_150_160.wav,beach,0.40519845485687256,0.1470285952091217,0.9984090928642247,0.0,3.8918202981106265,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_60_70.wav,beach,0.38004910945892334,0.13819503784179688,0.9986423358181127,0.0,3.8918202981106265,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_70_80.wav,beach,0.38227391242980957,0.14673620462417603,0.9985396763280877,0.0,3.8918202981106265,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_80_90.wav,beach,0.36858662962913513,0.12515760958194733,0.998539231914711,0.0,4.007333185232471,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_200_210.wav,beach,0.4099441170692444,0.13119298219680786,0.9981191131359073,0.0,3.8918202981106265,0.2,4
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_180_190.wav,beach,0.3799366056919098,0.14320597052574158,0.9982987302090031,0.0,4.007333185232471,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_190_200.wav,beach,0.38909828662872314,0.15213903784751892,0.998157777099683,0.0,3.8918202981106265,0.2,4
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_20_30.wav,beach,0.38911670446395874,0.15483886003494263,0.9981168170001276,0.0,4.007333185232471,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_0_10.wav,beach,0.37525126338005066,0.11625948548316956,0.998565970786211,0.0,4.007333185232471,0.2,3
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_10_20.wav,beach,0.39147835969924927,0.18303662538528442,0.9979859372606801,0.0,4.007333185232471,0.2,4
tut2017,/home/star/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b020_130_140.wav,beach,0.40757954120635986,0.18939723074436188,0.9976966241524279,0.0,3.8918202981106265,0.2,3
