sample_id,true_label,baseline_top1,baseline_margin,entropy,orig_rank,ours_rank,oracle_sample_rank,oracle_candidate_rank,oracle_sample_choose_orig,oracle_candidate_choose_orig_ratio,mixed_preference,hop2_activation,prompt_count_log1p,oracle_gap
/home/star/zkx/CLAP/data/ESC-50/audio/1-100032-A-0.wav,dog,0.2990286350250244,0.051692113280296326,0.9994908690920855,1,1,1,1,0.0,0.2,1.0,0.0,4.007333185232471,0.05258285999298096
/home/star/zkx/CLAP/data/ESC-50/audio/1-100038-A-14.wav,chirping birds,0.30728858709335327,0.12296873331069946,0.9981131876242176,3,1,1,1,0.0,0.2,1.0,0.0,4.143134726391533,0.0905400812625885
/home/star/zkx/CLAP/data/ESC-50/audio/1-100210-A-36.wav,vacuum cleaner,0.4718162417411804,0.17667073011398315,0.9966817321377651,1,1,1,1,0.0,0.2,1.0,0.0,4.04305126783455,0.1622788906097412
/home/star/zkx/CLAP/data/ESC-50/audio/1-100210-B-36.wav,vacuum cleaner,0.4899061620235443,0.16479754447937012,0.9970427439374634,1,1,1,1,0.0,0.2,1.0,0.0,4.07753744390572,0.19401341676712036
/home/star/zkx/CLAP/data/ESC-50/audio/1-101296-A-19.wav,thunderstorm,0.3703639805316925,0.1998300701379776,0.9972019179952295,1,1,1,1,0.0,0.2,1.0,0.0,3.828641396489095,0.13535654544830322
/home/star/zkx/CLAP/data/ESC-50/audio/1-101296-B-19.wav,thunderstorm,0.36396458745002747,0.19691768288612366,0.9976175185713696,1,1,1,1,0.0,0.2,1.0,0.0,3.828641396489095,0.14567282795906067
/home/star/zkx/CLAP/data/ESC-50/audio/1-101336-A-30.wav,door wood knock,0.4016636908054352,0.19267840683460236,0.9969371216915935,1,1,1,1,0.0,0.0,0.0,1.0,3.3672958299864737,0.122263103723526
/home/star/zkx/CLAP/data/ESC-50/audio/1-101404-A-34.wav,can opening,0.24566078186035156,0.08477625250816345,0.9993649519686783,1,1,1,1,0.0,0.2,1.0,1.0,3.784189633918261,0.18212127685546875
/home/star/zkx/CLAP/data/ESC-50/audio/1-103298-A-9.wav,crow,0.2827828526496887,0.017889827489852905,0.9997740344819597,2,2,2,1,0.0,0.2,1.0,0.0,4.174387269895637,0.0951184332370758
/home/star/zkx/CLAP/data/ESC-50/audio/1-103995-A-30.wav,door wood knock,0.40203115344047546,0.19204255938529968,0.9953557507593903,1,1,1,1,0.0,0.0,0.0,1.0,3.4965075614664802,0.19204255938529968
/home/star/zkx/CLAP/data/ESC-50/audio/1-103999-A-30.wav,door wood knock,0.41706204414367676,0.19131574034690857,0.9953261972698376,1,1,1,1,0.0,0.0,0.0,1.0,3.4657359027997265,0.19131574034690857
/home/star/zkx/CLAP/data/ESC-50/audio/1-104089-A-22.wav,clapping,0.4057266414165497,0.24023717641830444,0.9964405638119921,1,1,1,1,0.0,0.2,1.0,0.0,3.828641396489095,0.27100296318531036
/home/star/zkx/CLAP/data/ESC-50/audio/1-104089-B-22.wav,clapping,0.40326446294784546,0.2066413164138794,0.9971398482602792,1,1,1,1,0.0,0.2,1.0,1.0,5.099866427824198,0.20563793182373047
/home/star/zkx/CLAP/data/ESC-50/audio/1-105224-A-22.wav,clapping,0.35207095742225647,0.1695014089345932,0.9979617908005444,1,1,1,1,0.0,0.0,0.0,1.0,5.099866427824198,0.1392773538827896
