dataset_name,sample_id,candidate_index,candidate_class,true_label,is_ground_truth,is_key_candidate,baseline_top1,baseline_margin,entropy,hop2_activation,prompt_count,prompt_count_log1p,base_score,orig_score,ours_score,orig_minus_base,ours_minus_base,orig_minus_ours,oracle_label
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100032-A-0.wav,18,dog,dog,1,1,0.2990286350250244,0.051692113280296326,0.9994908690920855,0.0,54,4.007333185232471,0.2990286350250244,0.3611292839050293,0.33611124753952026,0.06210064888000488,0.03708261251449585,0.025018036365509033,1
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100032-A-0.wav,16,crow,dog,0,1,0.2990286350250244,0.051692113280296326,0.9994908690920855,0.0,54,4.007333185232471,0.2473365217447281,0.35318723320961,0.30854642391204834,0.1058507114648819,0.06120990216732025,0.044640809297561646,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100032-A-0.wav,5,cat,dog,0,1,0.2990286350250244,0.051692113280296326,0.9994908690920855,0.0,54,4.007333185232471,0.2163458913564682,0.26514023542404175,0.2453387975692749,0.04879434406757355,0.0289929062128067,0.019801437854766846,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100032-A-0.wav,25,frog,dog,0,0,0.2990286350250244,0.051692113280296326,0.9994908690920855,0.0,54,4.007333185232471,0.1944607049226761,0.17319256067276,0.1814538985490799,-0.021268144249916077,-0.013006806373596191,-0.008261337876319885,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100032-A-0.wav,37,rooster,dog,0,1,0.2990286350250244,0.051692113280296326,0.9994908690920855,0.0,54,4.007333185232471,0.19095227122306824,0.3542158007621765,0.28300631046295166,0.16326352953910828,0.09205403923988342,0.07120949029922485,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100038-A-14.wav,7,chirping birds,chirping birds,1,1,0.30728858709335327,0.12296873331069946,0.9981131876242176,0.0,62,4.143134726391533,0.30728858709335327,0.38094282150268555,0.3518989086151123,0.07365423440933228,0.04461032152175903,0.029043912887573242,1
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100038-A-14.wav,37,rooster,chirping birds,0,1,0.30728858709335327,0.12296873331069946,0.9981131876242176,0.0,62,4.143134726391533,0.1843198537826538,0.28329998254776,0.24191319942474365,0.0989801287651062,0.057593345642089844,0.04138678312301636,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100038-A-14.wav,25,frog,chirping birds,0,1,0.30728858709335327,0.12296873331069946,0.9981131876242176,0.0,62,4.143134726391533,0.12987704575061798,0.3249119520187378,0.2372913807630539,0.1950349062681198,0.10741433501243591,0.0876205712556839,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100038-A-14.wav,16,crow,chirping birds,0,1,0.30728858709335327,0.12296873331069946,0.9981131876242176,0.0,62,4.143134726391533,0.11128833889961243,0.38813316822052,0.2622452974319458,0.2768448293209076,0.15095695853233337,0.12588787078857422,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100038-A-14.wav,30,insects,chirping birds,0,1,0.30728858709335327,0.12296873331069946,0.9981131876242176,0.0,62,4.143134726391533,0.10058961063623428,0.451153427362442,0.29040274024009705,0.35056381672620773,0.18981312960386276,0.16075068712234497,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100210-A-36.wav,46,vacuum cleaner,vacuum cleaner,1,1,0.4718162417411804,0.17667073011398315,0.9966817321377651,0.0,56,4.04305126783455,0.4718162417411804,0.4826160967350006,0.48135828971862793,0.01079985499382019,0.00954204797744751,0.0012578070163726807,1
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100210-A-36.wav,47,washing machine,vacuum cleaner,0,1,0.4718162417411804,0.17667073011398315,0.9966817321377651,0.0,56,4.04305126783455,0.29514551162719727,0.3395312428474426,0.3203372061252594,0.04438573122024536,0.025191694498062134,0.019194036722183228,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100210-A-36.wav,22,engine,vacuum cleaner,0,1,0.4718162417411804,0.17667073011398315,0.9966817321377651,0.0,56,4.04305126783455,0.2910325825214386,0.27068397402763367,0.278160035610199,-0.02034860849380493,-0.012872546911239624,-0.007476061582565308,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100210-A-36.wav,27,hand saw,vacuum cleaner,0,1,0.4718162417411804,0.17667073011398315,0.9966817321377651,0.0,56,4.04305126783455,0.22498327493667603,0.30762243270874023,0.2671407163143158,0.08263915777206421,0.04215744137763977,0.04048171639442444,0
esc50,/home/star/zkx/CLAP/data/ESC-50/audio/1-100210-A-36.wav,6,chainsaw,vacuum cleaner,0,1,0.4718162417411804,0.17667073011398315,0.9966817321377651,0.0,56,4.04305126783455,0.17359741032123566,0.3593476414680481,0.2629159986972809,0.18575023114681244,0.08931858837604523,0.09643164277076721,0
