Target: usk80
Variant: weighted_lr

Method                 Hit@1   Hit@3   Hit@5    MRR
----------------------------------------------------
OriginalAgg             84.85   95.82   98.67   90.61
Ours                    85.97   96.77   98.67   91.40
OracleCandidate         97.17   98.58   98.67   97.86
weighted_lr             85.05   96.14   98.67   90.75

Diagnostics
- variant_name: weighted_lr
- model_kind: lr
- train_rows_before: 29489
- train_rows_after: 22620
- hard_mining_keep_ratio: 0.7670656855098511
- train_choose_orig_ratio: 0.29261715296198054
- gt_weight_mean: 2.174535809018568
- route_choose_orig_ratio: 0.34766376546037564
- oracle_match_accuracy: 0.7948871750928306
- key_candidate_ratio_test: 0.8018781493357765
- prob_low_ratio: 0.5516491067338525
- prob_mid_ratio: 0.17434722858451673
- prob_high_ratio: 0.2740036646816308
- scaler_mean:
  - baseline_top1: 0.3979153273831378
  - baseline_margin: 0.07834007238037059
  - entropy: 0.9985552582266509
  - hop2_activation: 0.4573386383731211
  - prompt_count_log1p: 4.007737310097322
  - base_score: 0.3124439867873827
  - orig_minus_base: 0.1146050704603553
  - ours_minus_base: 0.0603953648702734
  - orig_minus_ours: 0.05420970559008186
- scaler_scale:
  - baseline_top1: 0.07382877701036945
  - baseline_margin: 0.06408516387867919
  - entropy: 0.0012941689701291177
  - hop2_activation: 0.4981766837419639
  - prompt_count_log1p: 0.465840272820163
  - base_score: 0.09608868829898233
  - orig_minus_base: 0.07770245794930161
  - ours_minus_base: 0.03996717000973645
  - orig_minus_ours: 0.0382422248214274
- coef_mean:
  - baseline_top1: -1.1242607127523272
  - baseline_margin: 0.35731977403339943
  - entropy: 0.0798238447733795
  - hop2_activation: -0.14872006607289573
  - prompt_count_log1p: 0.16782369095205774
  - base_score: 2.381740556769844
  - orig_minus_base: 0.4989667687211454
  - ours_minus_base: 1.517660292237271
  - orig_minus_ours: -0.5722899923949623
- coef_abs_mean:
  - baseline_top1: 1.1242607127523272
  - baseline_margin: 0.35731977403339943
  - entropy: 0.0798238447733795
  - hop2_activation: 0.14872006607289573
  - prompt_count_log1p: 0.16782369095205774
  - base_score: 2.381740556769844
  - orig_minus_base: 0.4989667687211454
  - ours_minus_base: 1.517660292237271
  - orig_minus_ours: 0.5722899923949623
